This is the stdout of a lucky run where LSTM learned very well.
$ python3 train_sMNIST.py

{                                                                                                                                                           
    "model": "LSTM",                      
    "num_hidden": 128,                                                                                                                                      
    "lr": 0.001,                                                       
    "training_steps": 36000,                            
    "batch_size": 256,                                                                                                                      
    "print_every": 200,                                                                                           
    "decay_lr_steps": 3000,                                                                                                                        
    "ext_time": 1                                                                         
}   

TOTAL PARAMS 67850                                      
Step 1, Minibatch Loss= 2.7067, Test Accuracy= 0.111    
Step 17400, Minibatch Loss= 0.1781, Test Accuracy= 0.946
Step 17600, Minibatch Loss= 0.2855, Test Accuracy= 0.916
Step 17800, Minibatch Loss= 0.1705, Test Accuracy= 0.955
Decaying learning rate: 0.00077 -> 0.00074
Step 18000, Minibatch Loss= 0.1677, Test Accuracy= 0.948
Step 18200, Minibatch Loss= 0.3873, Test Accuracy= 0.876
Step 18400, Minibatch Loss= 0.1420, Test Accuracy= 0.957
Step 18600, Minibatch Loss= 0.1537, Test Accuracy= 0.956
Step 18800, Minibatch Loss= 0.1300, Test Accuracy= 0.964
Step 19000, Minibatch Loss= 0.1379, Test Accuracy= 0.962
Step 19200, Minibatch Loss= 0.1489, Test Accuracy= 0.966
Step 19400, Minibatch Loss= 0.1290, Test Accuracy= 0.968
Step 19600, Minibatch Loss= 0.1244, Test Accuracy= 0.961
Step 19800, Minibatch Loss= 0.1018, Test Accuracy= 0.972
Step 20000, Minibatch Loss= 0.1339, Test Accuracy= 0.966
Step 20200, Minibatch Loss= 0.0833, Test Accuracy= 0.979
Step 20400, Minibatch Loss= 0.1019, Test Accuracy= 0.976
Step 20600, Minibatch Loss= 0.1044, Test Accuracy= 0.970                                                                                                    
Step 20800, Minibatch Loss= 0.0915, Test Accuracy= 0.977

Decaying learning rate: 0.00074 -> 0.0007
Step 21000, Minibatch Loss= 0.1311, Test Accuracy= 0.967
Step 21200, Minibatch Loss= 0.0963, Test Accuracy= 0.967
Step 21400, Minibatch Loss= 0.1442, Test Accuracy= 0.964
Step 21600, Minibatch Loss= 0.0889, Test Accuracy= 0.971
Step 21800, Minibatch Loss= 0.0801, Test Accuracy= 0.979
Step 22000, Minibatch Loss= 0.0782, Test Accuracy= 0.979
Step 22200, Minibatch Loss= 0.1163, Test Accuracy= 0.966
Step 22400, Minibatch Loss= 0.0919, Test Accuracy= 0.974
Step 22600, Minibatch Loss= 0.0728, Test Accuracy= 0.979
Step 22800, Minibatch Loss= 0.1102, Test Accuracy= 0.971
Step 23000, Minibatch Loss= 0.0833, Test Accuracy= 0.974
Step 23200, Minibatch Loss= 0.0671, Test Accuracy= 0.980
Step 23400, Minibatch Loss= 0.0735, Test Accuracy= 0.979
Step 23600, Minibatch Loss= 0.0788, Test Accuracy= 0.981
Step 23800, Minibatch Loss= 0.0769, Test Accuracy= 0.979
Decaying learning rate: 0.0007 -> 0.00066
Step 24000, Minibatch Loss= 0.0740, Test Accuracy= 0.979
Step 24200, Minibatch Loss= 0.0676, Test Accuracy= 0.980
Step 24400, Minibatch Loss= 0.0810, Test Accuracy= 0.979
Step 24600, Minibatch Loss= 0.0704, Test Accuracy= 0.979
Step 24800, Minibatch Loss= 0.0701, Test Accuracy= 0.980
Step 25000, Minibatch Loss= 0.0681, Test Accuracy= 0.977
Step 25200, Minibatch Loss= 0.0417, Test Accuracy= 0.984
Step 25400, Minibatch Loss= 0.0860, Test Accuracy= 0.978
Step 25600, Minibatch Loss= 0.0561, Test Accuracy= 0.981
Step 25800, Minibatch Loss= 0.0706, Test Accuracy= 0.978
Step 26000, Minibatch Loss= 0.0580, Test Accuracy= 0.979
Step 26200, Minibatch Loss= 0.0766, Test Accuracy= 0.977
Step 26400, Minibatch Loss= 0.0631, Test Accuracy= 0.984
Step 26600, Minibatch Loss= 0.0989, Test Accuracy= 0.972
Step 26800, Minibatch Loss= 0.0722, Test Accuracy= 0.983
Decaying learning rate: 0.00066 -> 0.00063
Step 27000, Minibatch Loss= 0.0720, Test Accuracy= 0.979
Step 27200, Minibatch Loss= 0.0523, Test Accuracy= 0.984
Step 27400, Minibatch Loss= 0.0492, Test Accuracy= 0.981
Step 27600, Minibatch Loss= 0.0690, Test Accuracy= 0.984
Step 27800, Minibatch Loss= 0.0810, Test Accuracy= 0.982
Step 28000, Minibatch Loss= 0.0686, Test Accuracy= 0.976
Step 28200, Minibatch Loss= 0.0861, Test Accuracy= 0.978
Step 28400, Minibatch Loss= 0.0283, Test Accuracy= 0.990
Step 28600, Minibatch Loss= 0.0963, Test Accuracy= 0.968
Step 28800, Minibatch Loss= 0.0998, Test Accuracy= 0.974
Step 29000, Minibatch Loss= 0.0541, Test Accuracy= 0.988
Step 29200, Minibatch Loss= 0.0770, Test Accuracy= 0.978
Step 29400, Minibatch Loss= 0.0474, Test Accuracy= 0.988
Step 29600, Minibatch Loss= 0.0570, Test Accuracy= 0.980
Step 29800, Minibatch Loss= 0.0539, Test Accuracy= 0.987
Decaying learning rate: 0.00063 -> 0.0006
Step 30000, Minibatch Loss= 0.0717, Test Accuracy= 0.979
Step 30200, Minibatch Loss= 0.0701, Test Accuracy= 0.983
Step 30400, Minibatch Loss= 0.0821, Test Accuracy= 0.979
Step 30600, Minibatch Loss= 0.0338, Test Accuracy= 0.989
Step 30800, Minibatch Loss= 0.0936, Test Accuracy= 0.979
Step 31000, Minibatch Loss= 0.0385, Test Accuracy= 0.990
Step 31200, Minibatch Loss= 0.1633, Test Accuracy= 0.948
Step 31400, Minibatch Loss= 0.0607, Test Accuracy= 0.982
Step 31600, Minibatch Loss= 0.0586, Test Accuracy= 0.985
Step 31800, Minibatch Loss= 0.0671, Test Accuracy= 0.982
Step 32000, Minibatch Loss= 0.0564, Test Accuracy= 0.988
Step 32200, Minibatch Loss= 0.0593, Test Accuracy= 0.985
Step 32400, Minibatch Loss= 0.0472, Test Accuracy= 0.986
Step 32600, Minibatch Loss= 0.0629, Test Accuracy= 0.982
Step 32800, Minibatch Loss= 0.0654, Test Accuracy= 0.983
Decaying learning rate: 0.0006 -> 0.00057
Step 33000, Minibatch Loss= 0.0445, Test Accuracy= 0.985
Step 33200, Minibatch Loss= 0.0418, Test Accuracy= 0.988
Step 33400, Minibatch Loss= 0.0469, Test Accuracy= 0.982
Step 33600, Minibatch Loss= 0.0272, Test Accuracy= 0.992
Step 33800, Minibatch Loss= 0.0577, Test Accuracy= 0.985
Step 34000, Minibatch Loss= 0.0474, Test Accuracy= 0.987
Step 34200, Minibatch Loss= 0.0568, Test Accuracy= 0.988
Step 34400, Minibatch Loss= 0.0434, Test Accuracy= 0.989
Step 34600, Minibatch Loss= 0.0650, Test Accuracy= 0.985
Step 34800, Minibatch Loss= 0.0596, Test Accuracy= 0.983
Step 35000, Minibatch Loss= 0.0821, Test Accuracy= 0.982
Step 35200, Minibatch Loss= 0.0479, Test Accuracy= 0.988
Step 35400, Minibatch Loss= 0.0367, Test Accuracy= 0.990
Step 35600, Minibatch Loss= 0.0749, Test Accuracy= 0.982
Step 35800, Minibatch Loss= 0.0271, Test Accuracy= 0.991
Decaying learning rate: 0.00057 -> 0.00054
Step 36000, Minibatch Loss= 0.0430, Test Accuracy= 0.985
Optimization Finished!
Statistics on the test set average accuracy 0.9867 +- 0.007297 (averaged over 40 test batches of size 256) 
